party,color,dont_know,current
CSSD,orange,0,1
KDU-CSL,gold,0,1
LB-KSCM/LB,darkred,0,0
LSU,yellowgreen,0,0
"Nevi/Don't know",darkgrey,1,0
ODA,teal,0,0
ODS,blue,0,1
OH/OH+LSNS,steelblue,0,0
SPR-RSC/RMS,brown,0,0
HDZJ/DTJ/SZJ,olive,0,0
KSCM,red,0,1
SZ,green,0,0
DEU,orchid,0,0
US/US-DEU,violet,0,0
4Koalice,yellow,0,0
ED,pink,0,0
SNK,deeppink,0,0
SNK-ED,mediumvioletred,0,0
TOP 09,darkviolet,0,1
VV,aquamarine,0,0
SPOZ,darkolivegreen,0,0
Pirati,black,0,0
Suverenita,magenta,0,0
ANO,cyan,0,1
Usvit,darkkhaki,0,0
Svobodni,seagreen,0,0
SPD,khaki,0,0
LB,red,0,0
CSD,orange,0,0
OF,steelblue,0,0
KSC,red,0,0
KDU,gold,0,0
HSD-SMS,violet,0,0
ODS-KSD,blue,0,0
